fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2017-03-01,1505,LUGO AEROPUERTO,LUGO,445,"10,2","1,6","7,8",00:50,"12,6",15:20,26,"3,9","11,1",14:40,"1,5","967,1",22,"964,3",05
2017-03-01,2661,"LEÓN, VIRGEN DEL CAMINO",LEON,916,"7,5","0,0","2,8",,"12,2",,,,,,,,,,
2017-03-01,7096B,HELLÍN,ALBACETE,605,"12,3","0,0","6,2",06:30,"18,4",16:30,27,"1,1","6,9",02:40,,"949,1",10,"946,0",17
2017-03-01,5960,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"14,2","0,0","7,8",23:58,"20,6",15:06,33,"2,5","7,8",11:55,"10,9","1018,5",Varias,"1016,0",15
2017-03-01,9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,254,"12,4","0,0","4,0",06:50,"20,9",16:10,31,"1,7","7,2",14:10,"9,9","989,7",10,"986,3",16
2017-03-01,8019,ALICANTE/ALACANT AEROPUERTO,ALICANTE,43,"15,8","0,0","10,8",23:10,"20,7",13:52,33,"3,3","12,5",01:54,,"1018,3",Varias,"1014,8",01
2017-03-01,8500A,"CASTELLÓN DE LA PLANA, ALMAZORA",CASTELLON,43,"13,1","0,0","7,9",07:00,"18,3",13:40,10,"1,7","6,1",13:40,"10,7","1014,9",Varias,"1011,4",00
2017-03-01,5796,MORÓN DE LA FRONTERA,SEVILLA,87,"13,2","0,0","6,1",06:40,"20,2",14:50,99,"1,4","6,1",Varias,"9,0","1011,3",09,"1009,2",18
2017-03-01,5047E,BAZA,GRANADA,785,"10,6","0,0","1,0",07:00,"20,2",15:40,16,"1,7","7,2",19:30,"8,8","930,6",09,"927,5",15
2017-03-01,5972X,SAN FERNANDO,CADIZ,28,"15,0","0,0","11,9",07:40,"18,1",12:40,29,"3,1","8,6",14:30,,"1017,9",09,"1015,5",15
2017-03-01,3463X,TRUJILLO,CACERES,503,"10,4","0,0","5,8",04:40,"15,0",14:10,25,"0,8","6,4",14:30,,,,,
2017-03-01,1475X,SANTIAGO DE COMPOSTELA,A CORUÑA,240,"10,8","18,0","9,6",05:40,"12,1",14:50,99,"1,4","9,2",10:40,,,,,
2017-03-01,0076,BARCELONA AEROPUERTO,BARCELONA,4,"11,9","0,0","7,5",06:21,"16,3",11:36,99,"6,1","11,4",Varias,"8,5","1020,1",10,"1015,1",00
2017-03-01,4061X,QUINTANAR DE LA ORDEN,TOLEDO,691,"9,4","0,0","3,0",06:00,"15,7",16:20,25,"1,4","5,8",15:10,,"940,9",11,"937,7",16
2017-03-01,3110C,BUITRAGO DEL LOZOYA,MADRID,1026,"7,8","0,0","1,9",06:00,"13,6",13:10,28,"1,1","9,4",00:20,,"897,7",12,"893,9",18
2017-03-01,9990X,"NAUT ARAN, ARTIES ",LLEIDA,1161,"5,8","0,0","-4,1",05:50,"15,6",13:40,23,"0,6","4,7",12:50,,,,,
2017-03-01,8325X,POLINYÀ DE XÚQUER,VALENCIA,12,"14,6","0,0","8,9",23:59,"20,2",12:30,29,"3,1","8,6",09:20,,,,,
2017-03-01,2867,SALAMANCA AEROPUERTO,SALAMANCA,790,"9,0","0,0","3,6",04:07,"14,4",15:04,30,"3,1","9,7",15:10,"9,4","929,4",Varias,"926,9",14
2017-03-01,B346X,PORRERES,ILLES BALEARS,120,"13,2","0,0","7,8",07:00,"18,7",13:20,21,"0,6","7,2",16:00,,,,,
2017-03-01,2235U,CERVERA DE PISUERGA,PALENCIA,1140,"4,2","0,0","-2,1",06:20,"10,5",14:10,,,,,"2,5","888,8",23,"885,7",04
2017-03-01,1221D,PUERTO DE PAJARES,ASTURIAS,1480,"4,5","0,0","1,4",03:00,"7,6",14:50,88,"4,4","12,5",08:00,,,,,
2017-03-01,2775X,VILLARDECIERVOS,ZAMORA,850,"7,8","0,0","4,2",03:30,"11,5",16:20,23,"3,9","11,4",11:00,"1,5","922,3",Varias,"920,3",Varias
2017-03-01,9981A,TORTOSA,TARRAGONA,50,"15,2","0,0","9,2",23:59,"21,1",13:30,35,"3,1","11,9",07:10,"10,1","1014,6",10,"1011,5",00
2017-03-01,3434X,NAVALMORAL DE LA MATA,CACERES,269,"10,6","0,0","4,3",05:30,"17,0",14:50,27,"2,5","9,2",14:10,"6,4","990,0",10,"987,1",00
2017-03-01,1041A,ZUMAIA,GIPUZKOA,28,"13,8","0,0","7,1",02:40,"20,4",12:30,19,"3,6","10,8",10:50,,,,,
